ID,TimeStamp,X,Y
13, 5/19/2020 11:44:36 AM,699,1710
13, 5/19/2020 11:44:37 AM,698,1710
13, 5/19/2020 11:44:38 AM,662,1710
13, 5/19/2020 11:44:40 AM,451,1451
13, 5/19/2020 11:44:41 AM,386,1377
13, 5/19/2020 11:44:43 AM,293,1099
13, 5/19/2020 11:44:44 AM,290,959
13, 5/19/2020 11:44:46 AM,125,809
13, 5/19/2020 11:44:47 AM,180,878
13, 5/19/2020 11:44:48 AM,177,875
13, 5/19/2020 11:44:50 AM,178,876
13, 5/19/2020 11:44:51 AM,215,770
13, 5/19/2020 11:44:51 AM,215,770
13, 5/19/2020 11:44:51 AM,215,770
13, 5/19/2020 11:44:51 AM,215,770
13, 5/19/2020 11:44:51 AM,215,770
13, 5/19/2020 11:44:58 AM,286,496
13, 5/19/2020 11:44:59 AM,378,429
13, 5/19/2020 11:44:59 AM,378,429
13, 5/19/2020 11:44:59 AM,378,429
13, 5/19/2020 11:44:59 AM,378,429
13, 5/19/2020 11:45:05 AM,373,431
13, 5/19/2020 11:45:07 AM,204,480
13, 5/19/2020 11:45:08 AM,203,505
13, 5/19/2020 11:45:09 AM,201,566
13, 5/19/2020 11:45:10 AM,242,589
13, 5/19/2020 11:45:12 AM,271,720
13, 5/19/2020 11:45:14 AM,472,893
13, 5/19/2020 11:45:15 AM,617,936
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:17 AM,713,964
13, 5/19/2020 11:45:25 AM,222,801
13, 5/19/2020 11:45:26 AM,115,777
13, 5/19/2020 11:45:28 AM,122,787
13, 5/19/2020 11:45:29 AM,124,788
13, 5/19/2020 11:45:31 AM,394,877
13, 5/19/2020 11:45:32 AM,235,849
13, 5/19/2020 11:45:33 AM,225,871
13, 5/19/2020 11:45:35 AM,340,942
13, 5/19/2020 11:45:36 AM,481,1037
13, 5/19/2020 11:45:37 AM,662,1060
13, 5/19/2020 11:45:37 AM,662,1060
13, 5/19/2020 11:45:43 AM,772,1372
13, 5/19/2020 11:45:43 AM,772,1372
13, 5/19/2020 11:45:43 AM,772,1372
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:45:58 AM,167,1081
13, 5/19/2020 11:46:10 AM,617,1395
13, 5/19/2020 11:46:11 AM,663,1408
13, 5/19/2020 11:46:11 AM,663,1408
13, 5/19/2020 11:46:14 AM,663,1408
13, 5/19/2020 11:46:17 AM,324,1149
13, 5/19/2020 11:46:17 AM,324,1149
13, 5/19/2020 11:46:17 AM,324,1149
13, 5/19/2020 11:46:20 AM,188,1003
13, 5/19/2020 11:46:20 AM,188,1003
13, 5/19/2020 11:46:20 AM,188,1003
13, 5/19/2020 11:46:24 AM,207,1044
13, 5/19/2020 11:46:25 AM,435,1262
13, 5/19/2020 11:46:27 AM,668,1369
13, 5/19/2020 11:46:28 AM,670,1411
13, 5/19/2020 11:46:28 AM,670,1411
13, 5/19/2020 11:46:31 AM,665,1421
13, 5/19/2020 11:46:32 AM,640,1427
13, 5/19/2020 11:46:34 AM,628,1169
13, 5/19/2020 11:46:35 AM,570,1053
13, 5/19/2020 11:46:36 AM,517,915
13, 5/19/2020 11:46:37 AM,465,785
13, 5/19/2020 11:46:39 AM,463,589
13, 5/19/2020 11:46:39 AM,463,589
13, 5/19/2020 11:46:39 AM,463,589
13, 5/19/2020 11:46:39 AM,463,589
13, 5/19/2020 11:46:39 AM,463,589
13, 5/19/2020 11:46:47 AM,337,461
13, 5/19/2020 11:46:47 AM,337,461
13, 5/19/2020 11:46:49 AM,337,579
13, 5/19/2020 11:46:51 AM,243,903
13, 5/19/2020 11:46:52 AM,190,1059
13, 5/19/2020 11:46:53 AM,170,1080
13, 5/19/2020 11:46:53 AM,170,1080
13, 5/19/2020 11:46:57 AM,198,1096
13, 5/19/2020 11:46:58 AM,351,1123
13, 5/19/2020 11:46:59 AM,528,1049
13, 5/19/2020 11:46:59 AM,528,1049
13, 5/19/2020 11:46:59 AM,528,1049
13, 5/19/2020 11:46:59 AM,528,1049
13, 5/19/2020 11:47:05 AM,999,952
13, 5/19/2020 11:47:05 AM,999,952
13, 5/19/2020 11:47:05 AM,999,952
13, 5/19/2020 11:47:05 AM,999,952
13, 5/19/2020 11:47:10 AM,857,844
13, 5/19/2020 11:47:10 AM,857,844
13, 5/19/2020 11:47:10 AM,857,844
13, 5/19/2020 11:47:10 AM,857,844
13, 5/19/2020 11:47:17 AM,416,555
13, 5/19/2020 11:47:18 AM,410,638
13, 5/19/2020 11:47:20 AM,481,784
13, 5/19/2020 11:47:21 AM,575,870
13, 5/19/2020 11:47:21 AM,575,870
13, 5/19/2020 11:47:23 AM,707,959
13, 5/19/2020 11:47:23 AM,707,959
13, 5/19/2020 11:47:23 AM,707,959
13, 5/19/2020 11:47:23 AM,707,959
13, 5/19/2020 11:47:29 AM,640,1097
13, 5/19/2020 11:47:31 AM,601,1401
13, 5/19/2020 11:47:32 AM,608,1450
13, 5/19/2020 11:47:33 AM,609,1449
13, 5/19/2020 11:47:35 AM,608,1449
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:36 AM,609,1450
13, 5/19/2020 11:47:45 AM,639,1675
13, 5/19/2020 11:47:46 AM,639,1664
13, 5/19/2020 11:47:48 AM,660,1654
13, 5/19/2020 11:47:49 AM,637,1582
13, 5/19/2020 11:47:50 AM,636,1588
13, 5/19/2020 11:47:51 AM,636,1586
13, 5/19/2020 11:47:51 AM,636,1586
13, 5/19/2020 11:47:55 AM,622,1572
13, 5/19/2020 11:47:56 AM,606,1568
