ID,TimeStamp,X,Y
11, 5/19/2020 12:02:36 PM,-1069,1305
12, 5/19/2020 12:02:36 PM,-794,1242
13, 5/19/2020 12:02:36 PM,-1016,1300
,,,
11, 5/19/2020 12:02:37 PM,-1079,1296
12, 5/19/2020 12:02:37 PM,-1068,1206
13, 5/19/2020 12:02:37 PM,-1075,1276
,,,
11, 5/19/2020 12:02:38 PM,-1133,1317
12, 5/19/2020 12:02:40 PM,-803,1271
13, 5/19/2020 12:02:39 PM,-1137,1338
,,,
11, 5/19/2020 12:02:40 PM,-1108,1316
12, 5/19/2020 12:02:40 PM,-803,1271
13, 5/19/2020 12:02:40 PM,-1079,1338
,,,
11, 5/19/2020 12:02:41 PM,-945,1250
12, 5/19/2020 12:02:41 PM,-753,1252
13, 5/19/2020 12:02:41 PM,-1047,1367
,,,
11, 5/19/2020 12:02:42 PM,-839,1209
12, 5/19/2020 12:02:41 PM,-753,1252
13, 5/19/2020 12:02:42 PM,-897,1356
,,,
11, 5/19/2020 12:02:44 PM,-681,1168
12, 5/19/2020 12:02:44 PM,-596,1139
13, 5/19/2020 12:02:43 PM,-893,1337
,,,
11, 5/19/2020 12:02:45 PM,-556,1141
12, 5/19/2020 12:02:45 PM,-541,1152
13, 5/19/2020 12:02:45 PM,-903,1337
,,,
11, 5/19/2020 12:02:46 PM,-459,1179
12, 5/19/2020 12:02:46 PM,-295,1196
13, 5/19/2020 12:02:46 PM,-891,1332
,,,
11, 5/19/2020 12:02:48 PM,-422,1163
12, 5/19/2020 12:02:48 PM,-115,1140
13, 5/19/2020 12:02:48 PM,-867,1311
,,,
11, 5/19/2020 12:02:49 PM,-434,1115
12, 5/19/2020 12:02:49 PM,-9,1134
13, 5/19/2020 12:02:49 PM,-849,1305
,,,
11, 5/19/2020 12:02:51 PM,-432,1119
12, 5/19/2020 12:02:51 PM,-90,1075
13, 5/19/2020 12:02:51 PM,-633,1278
,,,
11, 5/19/2020 12:02:52 PM,-419,1186
12, 5/19/2020 12:02:52 PM,-105,1064
13, 5/19/2020 12:02:52 PM,-534,1380
,,,
11, 5/19/2020 12:02:53 PM,-419,1182
12, 5/19/2020 12:02:53 PM,-96,1068
13, 5/19/2020 12:02:53 PM,-446,1371
,,,
11, 5/19/2020 12:02:55 PM,-399,1147
12, 5/19/2020 12:02:55 PM,-22,1089
13, 5/19/2020 12:02:55 PM,-505,1303
,,,
11, 5/19/2020 12:02:56 PM,-399,1150
12, 5/19/2020 12:02:56 PM,-17,1094
13, 5/19/2020 12:02:56 PM,-670,1205
,,,
11, 5/19/2020 12:02:57 PM,-399,1149
12, 5/19/2020 12:02:57 PM,4,1092
13, 5/19/2020 12:02:58 PM,-572,1187
,,,
11, 5/19/2020 12:02:59 PM,-269,1290
12, 5/19/2020 12:02:59 PM,-105,1234
13, 5/19/2020 12:02:59 PM,-373,1222
,,,
11, 5/19/2020 12:03:00 PM,-195,1411
12, 5/19/2020 12:03:00 PM,-223,1306
13, 5/19/2020 12:03:00 PM,-198,1211
,,,
11, 5/19/2020 12:03:02 PM,-137,1639
12, 5/19/2020 12:03:02 PM,-418,1549
13, 5/19/2020 12:03:02 PM,-51,1149
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:03 PM,-506,1630
13, 5/19/2020 12:03:03 PM,-37,1115
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:04 PM,-610,1733
13, 5/19/2020 12:03:05 PM,27,1084
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:06 PM,21,1093
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:07 PM,-14,1092
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:08 PM,-48,1066
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:10 PM,-60,1082
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:11 PM,-46,1194
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:12 PM,-91,1336
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:14 PM,-177,1581
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:05 PM,-659,1770
13, 5/19/2020 12:03:15 PM,-141,1750
,,,
11, 5/19/2020 12:03:03 PM,-131,1769
12, 5/19/2020 12:03:16 PM,-594,1770
13, 5/19/2020 12:03:15 PM,-141,1750
,,,
